"go_id","hgnc_symbol"
"GO:0050804","STAT3"
"GO:0050804","STAU1"
"GO:0050804","STX3"
"GO:0050804","SYNGAP1"
"GO:0050804","SYNGR1"
"GO:0050804","SYNPR"
"GO:0050804","SYP"
"GO:0050804","TNR"
"GO:0050804","TRIO"
"GO:0050804","TRPC1"
"GO:0050804","TUBB2B"
"GO:0050804","UBE2I"
"GO:0050804","UBE3A"
"GO:0050804","VGF"
"GO:0050804","VPS35"
"GO:0050804","WNK1"
"GO:0050804","WNT3A"
"GO:0050804","WNT5A"
"GO:0050807","AGRN"
"GO:0050807","APOE"
"GO:0050807","ARF4"
"GO:0050807","CAMK1"
"GO:0050807","CDH8"
"GO:0050807","CNTNAP4"
"GO:0050807","CSNK2B"
"GO:0050807","CTTNBP2"
"GO:0050807","DAG1"
"GO:0050807","GPM6A"
"GO:0050807","MECP2"
"GO:0050807","NCKAP1"
"GO:0050807","NECTIN1"
"GO:0050807","PTPRO"
"GO:0050807","PTPRT"
"GO:0050807","RIMS3"
"GO:0050807","RIMS4"
"GO:0050807","SEMA3A"
"GO:0050807","SEPTIN11"
"GO:0050807","SLITRK1"
"GO:0050807","SLITRK2"
"GO:0050807","SLITRK4"
"GO:0050807","SPARC"
"GO:0050807","SPARCL1"
"GO:0050807","TUBA1A"
"GO:0050807","TUBB"
"GO:0050807","VCP"
"GO:0050807","WNT3A"
"GO:0050807","WNT5A"
"GO:0050808","ADGRL2"
"GO:0050808","ADGRL3"
"GO:0050808","APBB1"
"GO:0050808","CD2AP"
"GO:0050808","FLNA"
"GO:0050808","NBEA"
"GO:0050808","NFASC"
"GO:0050808","PTPRS"
"GO:0051580","ARL6IP5"
"GO:0051580","DRD2"
"GO:0051580","DRD3"
"GO:0051580","FLOT1"
"GO:0051580","SYNGR3"
"GO:0051963","CHD4"
"GO:0051963","CRTAC1"
"GO:0051963","CTNNB1"
"GO:0051963","ELAVL2"
"GO:0051963","EPHB2"
"GO:0051963","EXOC7"
"GO:0051963","ICAM5"
"GO:0051963","L1CAM"
"GO:0051963","LRRTM4"
"GO:0051963","NLGN4X"
"GO:0051963","NRG2"
"GO:0051963","NTN1"
"GO:0051963","OGT"
"GO:0051963","PODXL"
"GO:0051963","PPFIBP2"
"GO:0051963","RAP2A"
"GO:0051963","RTN4R"
"GO:0051963","SDC2"
"GO:0051963","SEMA4D"
"GO:0051963","SRCIN1"
"GO:0051963","SRGAP2"
"GO:0051963","SRGAP2B"
"GO:0051963","SRGAP2C"
"GO:0051963","SRPX2"
"GO:0051963","VLDLR"
"GO:0060074","ABL2"
"GO:0060074","BCAN"
"GO:0060074","LNX1"
"GO:0060074","PFN1"
"GO:0060074","ROBO2"
"GO:0060074","SLIT2"
"GO:0060074","VEZT"
"GO:0060078","ANO6"
"GO:0060078","CHRM1"
"GO:0060078","DPP6"
"GO:0060078","HCN1"
"GO:0060078","KCNIP1"
"GO:0060078","KCNIP2"
"GO:0060078","KCNIP3"
"GO:0060078","KCNT1"
"GO:0060078","NOS1"
"GO:0060078","NR3C2"
"GO:0060078","RGS7"
"GO:0060078","RGS7BP"
"GO:0090128","ADGRB3"
"GO:0090128","AGO2"
"GO:0090128","C1QL2"
"GO:0090128","CAMK2B"
"GO:0090128","CLSTN1"
"GO:0090128","CNTNAP1"
"GO:0090128","DAB1"
"GO:0090128","DLGAP4"
"GO:0090128","EXOC2"
"GO:0090128","FGF22"
"GO:0090128","FGF7"
"GO:0090128","IGSF9"
"GO:0090128","MDGA1"
"GO:0090128","MDGA2"
"GO:0090128","NEFL"
"GO:0090128","NRG2"
"GO:0090128","NRN1"
"GO:0090128","PAK1;PAK2;PAK3"
"GO:0090128","RELN"
"GO:0090128","ROCK1"
"GO:0090128","ROCK2"
"GO:0090128","SDC2"
"GO:0090128","SEMA7A"
"GO:0090128","SNX27"
"GO:0090128","VPS35"
"GO:0090128","YWHAZ"
"GO:0097091","ABI1;ABI2"
"GO:0097091","BSN"
"GO:0097091","CTBP1"
"GO:0097091","CTNNB1"
"GO:0097091","DOCK1"
"GO:0097091","PCLO"
"GO:0097091","SYN2"
"GO:0097091","SYN3"
"GO:0097104","EPHB2"
"GO:0097107","C1QL2"
"GO:0097107","C1QL3"
"GO:0097107","CSMD2"
"GO:0097107","FAM81A"
"GO:0097107","NPTX1"
"GO:0097107","NRXN3"
"GO:0097107","NTRK3"
"GO:0097401","ATP6AP1"
"GO:0097401","ATP6AP2"
"GO:0097401","ATP6V0A1"
"GO:0097401","ATP6V0A4"
"GO:0097401","ATP6V0B"
"GO:0097401","ATP6V0C"
"GO:0097401","ATP6V0D1"
"GO:0097401","ATP6V0E2"
"GO:0097401","ATP6V1A"
"GO:0097401","ATP6V1B1"
"GO:0097401","ATP6V1B2"
"GO:0097401","ATP6V1C1"
"GO:0097401","ATP6V1D"
"GO:0097401","ATP6V1E1"
"GO:0097401","ATP6V1F"
"GO:0097401","ATP6V1G1"
"GO:0097401","ATP6V1G2"
"GO:0097401","ATP6V1H"
"GO:0097401","CLCN3"
"GO:0098693","ARHGDIA"
"GO:0098693","BLOC1S1"
"GO:0098693","BLOC1S6"
"GO:0098693","BSN"
"GO:0098693","C9ORF72"
"GO:0098693","CASP3"
"GO:0098693","CDK5R1"
"GO:0098693","DNAJC5"
"GO:0098693","LPAR1"
"GO:0098693","NRXN1"
"GO:0098693","PLD1"
"GO:0098693","PLS3"
"GO:0098693","PPP3R1"
"GO:0098693","PRKAR1B"
"GO:0098693","PSEN1"
"GO:0098693","RAB3B"
"GO:0098693","RAPGEF4"
"GO:0098693","SCRN1"
"GO:0098693","SNAP29"
"GO:0098693","SYN1"
"GO:0098693","VPS18"
"GO:0098694","SLC2A4"
"GO:0098695","ITPR1"
"GO:0098696","ADAM10"
"GO:0098696","CACNA2D2"
"GO:0098696","CAMK2A"
"GO:0098696","CYLD"
"GO:0098696","DAG1"
"GO:0098696","EPB41L3"
"GO:0098696","EXOC4"
"GO:0098696","GABARAP"
"GO:0098696","GHSR"
"GO:0098696","GPC4"
"GO:0098696","GPC6"
"GO:0098696","GSK3B"
"GO:0098696","HRAS"
"GO:0098696","IQSEC2"
"GO:0098696","KALRN"
"GO:0098696","KIF2C"
"GO:0098696","MAGI2"
"GO:0098696","MAP2K1"
"GO:0098696","NBEA"
"GO:0098696","NETO2"
"GO:0098696","OGT"
"GO:0098696","OLFM1"
"GO:0098696","PAK1;PAK2;PAK3"
"GO:0098696","PRKCZ"
"GO:0098696","RAP1A"
"GO:0098696","RAPGEF4"
"GO:0098696","TMEM108"
"GO:0098696","TNIK"
"GO:0098696","TRAF6"
"GO:0098696","VPS26B"
"GO:0098698","CRK"
"GO:0098698","CRKL"
"GO:0098698","DOCK7"
"GO:0098698","NLGN1"
"GO:0098698","NLGN2"
"GO:0098698","NLGN3"
"GO:0098698","NTNG2"
"GO:0098699","PLS3"
"GO:0098700","SLC17A5"
"GO:0098700","SLC17A6"
"GO:0098700","SLC17A7"
"GO:0098700","SLC17A8"
"GO:0098700","SLC18A2"
"GO:0098700","SLC18A3"
"GO:0098700","SLC32A1"
"GO:0098810","SLC1A2"
"GO:0098810","SLC6A1"
"GO:0098810","SLC6A2"
"GO:0098810","SLC6A4"
"GO:0098810","SLC6A5"
"GO:0098872","GRM1"
"GO:0098879","GIT1"
"GO:0098879","MAGI2"
"GO:0098879","RAPSN"
"GO:0098880","ADGRL3"
"GO:0098880","CADM1"
"GO:0098880","HSPA8"
"GO:0098880","ITGB1"
"GO:0098880","ITGB3"
"GO:0098880","OPHN1"
"GO:0098880","SYNGAP1"
"GO:0098882","BSN"
"GO:0098882","CTBP2"
"GO:0098882","ERC1"
"GO:0098882","ERC2"
"GO:0098882","PCLO"
"GO:0098882","RIMBP2"
"GO:0098882","RIMS1"
"GO:0098882","RIMS2"
"GO:0098883","EPHA4"
"GO:0098884","AP2B1"
"GO:0098884","AP2M1"
"GO:0098884","AP2S1"
"GO:0098884","AP3M1"
"GO:0098884","CALY"
"GO:0098884","EPS15"
"GO:0098884","HUWE1"
"GO:0098884","MYO6"
"GO:0098884","RAB11FIP5"
"GO:0098884","RAB5A"
"GO:0098884","SH3GLB2"
"GO:0098884","TMUB1"
"GO:0098885","ABI3"
"GO:0098885","CABP1"
"GO:0098885","CAP1"
"GO:0098885","CFL1"
"GO:0098885","CTNNA2"
"GO:0098885","CTTN"
"GO:0098885","DIXDC1"
"GO:0098885","ITPKA"
"GO:0098885","PFN1"
"GO:0098885","PFN2"
"GO:0098885","SPTB"
"GO:0098885","WASF1"
"GO:0098885","WASF3"
"GO:0098887","GRIP1"
"GO:0098887","GRIP2"
"GO:0098887","NSG1"
"GO:0098887","RAB11A"
"GO:0098887","RAB8A"
"GO:0098887","SCRIB"
"GO:0098887","VAMP4"
"GO:0098887","VPS35"
"GO:0098919","CTNND2"
"GO:0098919","DLG1"
"GO:0098919","DLG2"
"GO:0098919","DLG3"
"GO:0098919","DLG4"
"GO:0098919","DLGAP1"
"GO:0098919","MAGI2"
"GO:0098919","MPP2"
"GO:0098919","PPFIA2"
"GO:0098919","SHANK1"
"GO:0098919","SHANK2"
"GO:0098919","SHANK3"
"GO:0098919","TANC2"
"GO:0098921","CNR1"
"GO:0098921","DAGLA"
"GO:0098921","FABP5"
"GO:0098925","GUCY1A1"
"GO:0098926","ARRB2"
"GO:0098926","NF1"
"GO:0098928","SIPA1L2"
"GO:0098930","ATG16L1"
"GO:0098930","ATG5"
"GO:0098930","TMEM230"
"GO:0098934","KIF21B"
"GO:0098935","KIF2A"
"GO:0098935","RABGEF1"
"GO:0098937","FLOT2"
"GO:0098937","KIF1A"
"GO:0098937","KIF3A"
"GO:0098937","RAB17"
"GO:0098939","WASF1"
"GO:0098942","CADM1"
"GO:0098942","DAG1"
"GO:0098942","FARP1"
"GO:0098942","TENM2"
"GO:0098943","AP3D1"
"GO:0098943","RAB7A"
"GO:0098962","AKAP9"
"GO:0098962","BEGAIN"
"GO:0098962","CACNG4"
"GO:0098962","CACNG5"
"GO:0098962","CACNG7"
"GO:0098962","CHRNA5"
"GO:0098962","CNIH2"
"GO:0098962","DLGAP2"
"GO:0098962","GPR39"
"GO:0098962","HOMER1"
"GO:0098962","HOMER3"
"GO:0098962","LRP8"
"GO:0098962","MAPK8IP1"
"GO:0098962","NETO1"
"GO:0098962","NETO2"
"GO:0098962","NOTCH1"
"GO:0098962","NPTX1"
"GO:0098962","NPTX2"
"GO:0098962","NPTXR"
"GO:0098962","NRXN2"
"GO:0098962","SHISA6"
"GO:0098962","SHISA7"
"GO:0098962","SHISA9"
"GO:0098962","SRC"
"GO:0098963","HNRNPU"
"GO:0098963","PURA"
"GO:0098963","SFPQ"
"GO:0098963","STAU1"
"GO:0098964","KIF5C"
"GO:0098964","STAU2"
"GO:0098967","SACM1L"
"GO:0098967","SNAP23"
"GO:0098967","SNAP47"
"GO:0098967","STX3"
"GO:0098967","STX4"
"GO:0098967","VAMP2"
"GO:0098968","MKLN1"
"GO:0098968","RAB4A"
"GO:0098969","CLSTN1"
"GO:0098969","MAPK10"
"GO:0098969","MYLK"
"GO:0098969","RAB8A"
"GO:0098969","SACM1L"
"GO:0098970","CACNG2"
"GO:0098970","SHISA6"
"GO:0098970","SLC12A5"
"GO:0098971","KIF17"
"GO:0098971","KIF3A"
"GO:0098971","KIF3B"
"GO:0098971","KIF5A"
"GO:0098971","KIFAP3"
"GO:0098971","SEPTIN9"
"GO:0098973","ACTB"
"GO:0098973","ACTG1"
"GO:0098973","ACTN2"
"GO:0098973","ACTN4"
"GO:0098973","CAMK2B"
"GO:0098973","DBNL"
"GO:0098974","ABI2"
"GO:0098974","ACTR3"
"GO:0098974","ADGRB1"
"GO:0098974","ARF1"
"GO:0098974","ARHGEF7"
"GO:0098974","CPNE6"
"GO:0098974","DBN1"
"GO:0098974","DBNL"
"GO:0098974","EZR"
"GO:0098974","FARP1"
"GO:0098974","FRMPD4"
"GO:0098974","MYH10"
"GO:0098974","NOS1AP"
"GO:0098974","PPP1R9A"
"GO:0098974","RAC1"
"GO:0098974","RAC3"
"GO:0098974","ROCK2"
"GO:0098974","SH3GL2"
"GO:0098974","SIPA1L1"
"GO:0098974","SRCIN1"
"GO:0098974","WASF2"
"GO:0098974","WASL"
"GO:0098987","KIF5B"
"GO:0098987","ZDHHC17"
"GO:0099010","ARHGAP44"
"GO:0099010","CTTN"
"GO:0099010","DLGAP3"
"GO:0099010","DLGAP4"
"GO:0099010","DRD1"
"GO:0099010","FILIP1"
"GO:0099010","RAP1B"
"GO:0099010","SARM1"
"GO:0099010","STAU1"
"GO:0099054","CADM1"
"GO:0099054","CNTN5"
"GO:0099054","DVL1"
"GO:0099054","EFNB1"
"GO:0099054","EFNB2"
"GO:0099054","FZD5"
"GO:0099054","NRXN1"
"GO:0099054","PPFIA1;PPFIA2;PPFIA3;PPFIA4"
"GO:0099054","PTPRD"
"GO:0099054","PTPRS"
"GO:0099054","RAPH1"
"GO:0099054","SDCBP"
"GO:0099072","AGAP3"
"GO:0099072","ALS2"
"GO:0099072","ATG5"
"GO:0099072","C22ORF39"
"GO:0099072","CACNG2"
"GO:0099072","CACNG8"
"GO:0099072","CAMK2G"
"GO:0099072","CLPTM1"
"GO:0099072","CNTNAP2"
"GO:0099072","CPT1C"
"GO:0099072","CSNK2A1"
"GO:0099072","CTNND1"
"GO:0099072","CTNND2"
"GO:0099072","DLG3"
"GO:0099072","DRD4"
"GO:0099072","DRD5"
"GO:0099072","EFNB2"
"GO:0099072","EPS8"
"GO:0099072","ERBIN"
"GO:0099072","FLOT2"
"GO:0099072","FRRS1L"
"GO:0099072","GRID1"
"GO:0099072","GRID2"
"GO:0099072","GRID2IP"
"GO:0099072","HSP90AA1"
"GO:0099072","IGSF11"
"GO:0099072","INPP4A"
"GO:0099072","KIF21B"
"GO:0099072","NINJ1"
"GO:0099072","NRXN3"
"GO:0099072","NSG2"
"GO:0099072","PDLIM4"
"GO:0099072","PHLDB2"
"GO:0099072","PORCN"
"GO:0099072","PPFIA1"
"GO:0099072","PRKCI"
"GO:0099072","PRKN"
"GO:0099072","RALBP1"
"GO:0099072","RAP2A"
"GO:0099072","SHROOM4"
"GO:0099072","SLC9A6"
"GO:0099072","SNX27"
"GO:0099072","SNX6"
"GO:0099072","SST"
"GO:0099072","STX12"
"GO:0099072","STX4"
"GO:0099072","SYT3"
"GO:0099072","TFRC"
"GO:0099072","YWHAE"
"GO:0099072","ZDHHC5"
"GO:0099084","AFDN"
"GO:0099084","CNKSR2"
"GO:0099084","INSYN1"
"GO:0099084","MYO9A"
"GO:0099088","TERF2"
"GO:0099089","MYO5A"
"GO:0099140","ABI1;ABI2"
"GO:0099140","ARHGEF7"
"GO:0099140","CAP2"
"GO:0099140","DAAM1"
"GO:0099140","PCLO"
"GO:0099140","PFN2"
"GO:0099140","TLN2"
"GO:0099145","CPLX1"
"GO:0099145","EPB41L1"
"GO:0099148","CAMK2A"
"GO:0099148","SEPTIN5"
"GO:0099148","STXBP5"
"GO:0099149","AKAP5"
"GO:0099149","ARC"
"GO:0099149","ATAD1"
"GO:0099149","CBLB"
"GO:0099149","DRD3"
"GO:0099149","DRD4"
"GO:0099149","EFNB2"
"GO:0099149","GSG1L"
"GO:0099149","HAP1"
"GO:0099149","HIP1"
"GO:0099149","HPCA"
"GO:0099149","IQSEC1"
"GO:0099149","ITGB3"
"GO:0099149","LPAR1"
"GO:0099149","LRP1"
"GO:0099149","MDM2"
"GO:0099149","MIB2"
"GO:0099149","NCDN"
"GO:0099149","NEDD4"
"GO:0099149","NEDD4L"
"GO:0099149","NRG1"
"GO:0099149","NUMB"
"GO:0099149","OPHN1"
"GO:0099149","PACSIN1"
"GO:0099149","PICK1"
"GO:0099149","PIKFYVE"
"GO:0099149","PIP5K1C"
"GO:0099149","PPP3R1"
"GO:0099149","RABEP1"
"GO:0099149","RALA"
"GO:0099149","RNF216"
"GO:0099149","RNF220"
"GO:0099149","RNF34"
"GO:0099149","SCRIB"
"GO:0099149","SIRT2"
"GO:0099149","SUSD4"
"GO:0099149","SYNE1"
"GO:0099149","SYNJ1"
"GO:0099149","SYT17"
"GO:0099149","TAMALIN"
"GO:0099149","TSPAN7"
"GO:0099149","USP46"
"GO:0099149","USP6"
"GO:0099149","VAC14"
"GO:0099150","ABL1"
"GO:0099150","ARHGEF9"
"GO:0099150","EEF1A1"
"GO:0099150","EEF1A2"
"GO:0099150","GAP43"
"GO:0099150","NPTXR"
"GO:0099150","NRXN1"
"GO:0099150","SPTBN2"
"GO:0099150","WNT5A"
"GO:0099151","APH1B"
"GO:0099151","CASKIN1"
"GO:0099151","CBLN1"
"GO:0099151","CRIPT"
"GO:0099151","FGFR1"
"GO:0099151","GRID2"
"GO:0099151","IL1RAP"
"GO:0099151","LATS1"
"GO:0099151","LRFN1"
"GO:0099151","LRFN4"
"GO:0099151","LRRC4B"
"GO:0099151","LRRTM1"
"GO:0099151","LRRTM2"
"GO:0099151","NLGN1"
"GO:0099151","NRXN1"
"GO:0099151","PHLDB2"
"GO:0099151","PRICKLE1"
"GO:0099151","PRICKLE2"
"GO:0099151","PTK2B"
"GO:0099151","PTPRD"
